1. 《思考，快与慢》|Thinking, Fast and Slow|丹尼尔·卡尼曼
2. 《影响力》|Influence: The Psychology of Persuasion|罗伯特·西奥迪尼
3. 《脑洞大开》|The Whole Brain Child|丹尼尔·J.西格尔和蒂娜·布莱森·布赫海姆
4. 《如何阅读一本书》|How to Read a Book|莫提默·J.艾德勒和查尔斯·范多伦
5. 《非暴力沟通》|Nonviolent Communication|马歇尔·罗森伯格
6. 《谈话的力量》|Crucial Conversations|凯尔·普顿
7. 《高效能人士的七个习惯》|The 7 Habits of Highly Effective People|史蒂芬·柯维
8. 《提问的艺术》|The Art of Asking: Asking Better Questions, Getting Better Answers|泰瑞·J.福尔斯特
9. 《思考的艺术》|The Art of Thinking Clearly|罗尔夫·多贝利
10. 《自卑与超越》|The Psychology of Self-Esteem|阿伯拉罕·马斯洛
11. 《自我认同的陷阱》|The Ego Tunnel: The Science of the Mind and the Myth of the Self| 托马斯·梅兹尔哈特
12. 《你的灵魂深处》|The Depths: The Evolutionary Origins of the Depression Epidemic|乔纳森·雷尼哈德
13. 《致命的决策》|Judgment in Managerial Decision Making|马克·哈伯德
14. 《追求卓越》|Outliers: The Story of Success|马尔科姆·格拉德威尔
15. 《为什么我们会赢》|The Winner's Brain: 8 Strategies Great Minds Use to Achieve Success|杰夫·布朗和马克·福斯特
16. 《终生学习》|How to Read a Book|莫提默·J.艾德勒和查尔斯·范多伦
17. 《非常感人的书》|The Highly Sensitive Person: How to Thrive When the World Overwhelms You|伊琳娜·S·伯恩斯
18. 《找到你的人生意义》|Man's Search for Meaning|维克多·E·弗兰克尔
19. 《内在动机》|Drive: The Surprising Truth About What Motivates Us|丹尼尔·平克
20. 《心流》|Flow: The Psychology of Optimal Experience|米哈里·契克森米哈伊
21. 《自我成长的心理学》|The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth|M·斯科特·派克
22. 《社交心理学》|Social Psychology|罗伯特·巴顿伯格
23. 《漫步人生》|The Art of Possibility: Transforming Professional and Personal Life|罗塔·泽尔曼、本杰明·泽尔曼
24. 《人性的弱点》|How to Win Friends and Influence People|戴尔·卡耐基
25. 《走出困境》|Getting Unstuck: A Guide to Discovering Your Next Career Path|蒂姆·巴特勒
26. 《失控》|Out of Control: The New Biology of Machines, Social Systems & the Economic World|凯文·凯利
27. 《你可以强大到令人生畏》|You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life|珍·辛塔罗
28. 《回归生活的艺术》|The Art of Possibility: Transforming Professional and Personal Life|玛丽昂·伍德曼和丹尼尔·J.西格尔
29. 《沉默的大多数》|The Silent Majority: Suburban Politics in the Sunbelt South|马修·拉森
30. 《抗压力的艺术》|The Resilience Factor: 7 Keys to Finding Your Inner Strength and Overcoming Life's Hurdles|肯尼斯·瑞西改
31. 《集中力》|The Power of Concentration|特楚米·阿格郎格
32. 《黑格尔现象学》|Phenomenology of Spirit|乔治·威廉·弗里德里希·黑格尔
33. 《改变任何事：持续性》|Change Anything: The New Science of Personal Success|凯莉洛加尔、丹·马克曼、大卫·马克曼等
34. 《致富套路》|Think and Grow Rich|拿破仑·希尔
35. 《认知神经科学基础》|Foundations of Cognitive Neuroscience|迈克尔·G·休斯顿和大卫·格洛夫克
36. 《智商相对论》|Intelligence Reframed: Multiple Intelligences for the 21st Century|霍华德·加德纳
37. 《发现生命的意义》|The Meaning of Life|罗伯特·诺兹里克
38. 《超越压力》|The Relaxation Response|赫伯特·本森博士和米歇尔·利特尔·本森
39. 《你追到的不只是床》|Mating in Captivity: Unlocking Erotic Intelligence|艾丽斯塔斯
40. 《大脑的故事》|The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human|V·S·拉马查德兰
41. 《意识的演化》|The Origin of Consciousness in the Breakdown of the Bicameral Mind|朱莉安·杰伊内斯
42. 《用科学证明灵魂的存在》|Proof of Heaven: A Neurosurgeon's Journey into the Afterlife|伊芙琳·亚历山大医生
43. 《脑的故事》|The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science|诺曼·多伊奇
44. 《沉思的科学》|The Art of Stillness: Adventures in Going Nowhere|Pico Iyer
45. 《前进》|Getting to Yes: Negotiating Agreement Without Giving In|威廉·瑟曼和罗杰·费舍尔
46. 《头脑清晰的思考》|Mastermind: How to Think Like Sherlock Holmes|玛丽阿邦德
47. 《整理的艺术》|The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing|玛丽·康多
48. 《高效的秘密》|The Power of Full Engagement: Managing Energy, Not Time, Is the Key to High Performance and Personal Renewal|卡雷尔·劳森和吉姆·洛赫特
49. 《关键对话》|Difficult Conversations: How to Discuss What Matters Most|道格拉斯·斯通、布鲁斯·帕顿和谢伦·海芬德
50. 《当你吃早餐的时候，你养成了什么习惯》|Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones|詹姆斯·克利尔
