1. 《思考，快与慢》| Thinking, Fast and Slow | 丹尼尔·卡尼曼
2. 《极简欧洲史》| A Little History of Europe | 约翰·勒内
3. 《文化的乐趣》| The Pleasures of Cultures | 李叔同
4. 《人类的本质》| The Nature of Human Nature | J·T·瓦特斯
5. 《众病之王：癫痫的历史》| The King's Evil: The History of Epilepsy | 罗兰德·霍柏
6. 《最好的告别》| Being Mortal | 阿蒂乌尔·高汀德
7. 《为什么成为一个好父母》| How to Be a Good Parent | 拉尔夫·拉克曼
8. 《学术的本质》| The Nature of Scholarship | 克斯特·威廉姆斯
9. 《我们的大脑》| Our Brain | 理查德·北平
10. 《思考的艺术与科学》| The Art and Science of Thinking | 约翰·L.泊特
11. 《超链接心智》| Hyperlinked Mind | 张旸
12. 《心灵实验室》| The Mind's Laboratory | 史蒂文·康奈尔
13. 《思考方式》| Thinking Styles | Robert J.Sternberg
14. 《思维方式》| Thinking in Styles | Carla Hannaford
15. 《超越麻烦》| Beyond Trouble | Cheryl Kane
16. 《天才的思维方式》| The Mind of the Genius | Calvin S. Hall
17. 《清晰思考的艺术》| The Art of Clear Thinking | 萨姆·扬
18. 《资讯视觉思考力》| Visual Intelligence | 艾米·赫曼
19. 《思维的能力》| Mental Abilities | 乔治·A.米勒
20. 《认知外伤与咨询干预》| Trauma and Resilience | 陈美华
21. 《全球化与异化》| Globalization and Estrangement | 刘言
22. 《市场博弈》| The Market Game | 马特·德塞诺/布莱克·斯旺
23. 《全球化时代的民族认同》| Ethnic Identity in Globalization | 黄宗礼
24. 《时代之艺术——一个新的美学哲学》| Art of the Times | 陈文程
25. 《文艺复兴的认知革命》| Renaissance and Cognitive Revolution | 马克·E.沃克
26. 《逻辑思维的艺术》| The Art of Logical Thinking | 威廉·沃克・阿特金森
27. 《认知经济时代的新思维》| New Thinking in the Age of Cognitive Economy | 刘和平
28. 《思维的智慧》| The Wisdom of Thinking | 段可味
29. 《情境与认知》| Situations and Cognition | Bobbie Wilson/Tom Moriarty
30. 《认知美学方法论》| Methodology of Cognitive Aesthetics | 阎瑶
31. 《新媒体的认知影响及其作用》| The Cognitive Impact and Function of New Media | 飞翔、胡志林
32. 《思维的能量》| The Power of Thought | 小野田寛郎
33. 《心智与社会化》| Mind and Socialization | 伯纳德·拉鲁斯克
34. 《认知生态学》| Cognitive Ecology | 约翰·T.里安
35. 《心智可塑性》| Mind Plasticity | 约翰·迪瑞诺
36. 《认知心理学》| Cognitive Psychology | R.M.尼斯贝特
37. 《认知科学与人工智能》| Cognitive Science and Artificial Intelligence | 刘江桥
38. 《心灵囚徒：为什么认知科学家坚信自由意志是真实的？》| The Mind's Prisoner: Why Cognitive Scientists Believe Free Will is Real | 汤姆·科恩
39. 《快速思维》| Fast Thinking | 迈克尔·莫斯尼克
40. 《学习资源和认知过程》| Learning Resources and Cognitive Processes | Bruce L.Gehrig
41. 《认知与语言的关系》| The Relationship between Cognition and Language | 张倩
42. 《认知时代的未来》| The Future of the Cognitive Era | 刘林
43. 《知识的力量》| The Power of Knowledge | 大卫·麦克卡拉
44. 《认知能力与学习过程》| Cognitive Abilities and Learning Processes | 陈荣德
45. 《从神经学到人类智能》| From Neurology to Human Intelligence | 麦克斯·门德尔
46. 《聚焦思考：从习惯到意志力》| Focus: from habits to willpower | 丹尼尔·戈尔曼
47. 《心理学及体育运动》| Psychology and Sports | 武凯峻
48. 《脑与身体的互动》| Interaction of Brain and Body | 格里菲斯·J.柯灵汉
49. 《认知项目管理术》| Cognitive Project Management | 黄怡康
50. 《思维的底层与文化》| The Underlying Thinking and Culture | 林鹏治
